Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45
100	1	-	2	-	1	-	1	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	6	6	2	2	2	2	6	6	6	6	4	6	4	4	4	4	4	4	4	4	1	1	1	1	1	3	4	1	4	4	4	4
110	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	1	-	1	-	1	-	7	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	4	4	4	4	7	7	7	7	7	7	7	7	6	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
120	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	1	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
130	2	-	2	-	2	-	1	-	2	-	4	-	2	-	5	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	7	7	3	7	2	3	2	2	2	2	2	2	3	3	3	3
140	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
150	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
160	4	-	4	-	6	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	4	4	6	6	6	6	6	6
170	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
180	4	-	4	-	4	-	4	-	4	-	2	-	2	-	3	-	3	-	1	-	6	-	4	-	4	-	4	-	4	-	7	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	6	7	6	6	4	4	4	4	4	6	4	4	2	6	2	3	2	3	2	2	2	2	4	4	4	4	4	4	6	4	6	6	6	6
190	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
200	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
210	4	-	4	-	4	-	4	-	4	-	5	-	1	-	4	-	1	-	1	-	5	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	5	1	1	5	5	5	5	4	5	4	4	4	4	4	4	4	4	4	4	5	5
220	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
230	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	2	-	2	-	2	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
240	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
250	4	-	4	-	4	-	4	-	4	-	4	-	5	-	1	-	6	-	6	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	5	7	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4
260	3	-	4	-	5	-	2	-	2	-	7	-	7	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	5	-	2	-	3	7	4	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	5	7	2	2	7	7	7	7	5	7	4	5	4	4
270	2	-	2	-	4	-	4	-	4	-	2	-	4	-	4	-	4	-	4	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	5	4	4	4	4	4	4	6	6	4	4	4	4	2	2	6	6	4	6	5	5
280	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	6	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	5	-	5	-	5	5	5	5	4	4	5	5	5	5	4	4	4	4	2	2	6	6	4	6	5	5	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
290	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
300	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	2	-	2	-	2	-	2	2	2	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
310	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	7	-	2	-	2	-	2	-	4	-	1	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	1	1	5	5	2	2	2	2	7	7	7	7	7	7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	7
320	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
330	1	-	1	-	1	-	1	-	1	-	2	-	2	-	2	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	4	-	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	3	3	7	7
340	1	-	5	-	4	-	4	-	4	-	4	-	1	-	1	-	1	-	1	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	1	-	1	-	1	-	1	1	1	1	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	1	1	1	1	1	1	5	5	4	4	4	4	5	5	1	5	5	5	5	5
350	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
360	1	-	1	-	4	-	3	-	2	-	7	-	7	-	7	-	1	-	1	-	7	-	4	-	4	-	4	-	1	-	1	-	2	-	7	-	3	-	2	-	4	-	4	-	4	-	4	4	4	4	3	3	7	7	7	7	3	3	3	3	4	4	4	4	7	7	7	7	7	7	1	1	7	7	7	7	7	7	3	3	7	7	1	1	7	7	7	7	7	7
370	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	4	-	1	-	1	-	1	-	1	-	3	-	3	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
380	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
390	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	4	-	6	-	4	-	4	-	2	-	2	-	2	-	6	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	6	6	2	2	2	2	4	4	6	6	2	6	4	6	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5
400	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
410	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	6	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
420	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	7
430	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
440	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	1	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	1	-	1	-	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
450	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
460	4	-	4	-	4	-	4	-	4	-	1	-	4	-	4	-	4	-	4	-	5	-	4	-	5	-	1	-	1	-	4	-	4	-	5	-	5	-	4	-	1	-	1	-	1	-	1	1	5	1	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	4	4	4	4	4	4	5	4	5	5	5	5
470	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6
480	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	1	-	1	-	1	-	1	-	1	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
490	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	1	-	2	-	3	-	2	-	1	-	3	-	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
500	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
510	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
520	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
530	4	-	4	-	6	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	1	-	1	-	1	-	1	-	2	-	2	-	3	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	3	3	1	3	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	2	2	4	6	4	4	5	4	1	5	1	1
540	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
550	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	6	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	6	6	4	4	4	4	4	4	4	4	4	4	6	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
560	4	-	4	-	4	-	4	-	4	-	2	-	4	-	4	-	4	-	4	-	4	-	1	-	1	-	1	-	2	-	2	-	2	-	1	-	4	-	1	-	1	-	1	-	1	-	1	1	1	1	1	5	1	1	1	1	2	2	2	2	1	1	1	1	1	3	1	1	4	5	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4
570	2	-	2	-	5	-	4	-	1	-	3	-	4	-	4	-	1	-	4	-	4	-	5	-	1	-	5	-	4	-	1	-	1	-	4	-	4	-	4	-	4	-	1	-	6	-	4	7	4	4	4	4	4	4	4	4	1	1	5	5	5	5	5	5	4	5	4	4	4	4	4	5	4	4	4	4	4	7	5	5	4	5	2	2	4	6	4	4	4	4
580	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	5	-	1	-	1	-	1	-	1	-	1	-	5	-	1	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	5	5	5	5	5	5	1	1	1	1	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5
590	2	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	4	6	1	5	1	1	3	3
600	4	-	4	-	4	-	4	-	4	-	6	-	4	-	4	-	4	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	5	5
610	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	3	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3
620	2	-	2	-	2	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	6	2	2
630	2	-	2	-	2	-	2	-	2	-	7	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	2	2	2	2	2	2	2	2	6	6	7	7
640	1	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	1	-	1	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	1	1	4	5	4	4	6	6
650	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	5	-	2	-	2	-	2	-	4	-	4	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	4	4	4	4	2	2	2	2	4	6	5	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
660	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
670	3	-	3	-	7	-	4	-	4	-	7	-	1	-	1	-	1	-	1	-	5	-	5	-	4	-	5	-	1	-	1	-	3	-	4	-	4	-	4	-	4	-	6	-	6	-	4	6	4	4	4	4	4	4	4	4	1	3	1	1	5	5	5	5	4	5	4	4	4	5	1	1	1	1	1	1	7	7	4	4	4	7	1	3	1	5	7	7	7	7
680	4	-	7	-	2	-	5	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	6	-	7	-	7	-	4	-	4	-	4	-	4	4	4	4	7	7	2	7	6	6	2	2	2	2	2	2	2	2	2	2	6	6	6	6	4	4	4	4	4	4	6	4	7	7	2	7	7	7	2	7	4	6	6	6
690	1	-	1	-	4	-	6	-	4	-	1	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	5	4	6	4	4	1	1	4	5	4	4	6	6
700	4	-	5	-	4	-	4	-	4	-	1	-	5	-	1	-	1	-	1	-	4	-	4	-	7	-	1	-	1	-	1	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	1	1	1	1	7	7	7	7	5	7	5	5	1	5	1	1	1	1	1	5	1	1	4	4	4	4	5	5	1	5	1	1	1	1
710	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	5	5	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	7
